"iati-identifier","title","reporting-org","total-commitment","total-spend","currency","link","activity-status"
"XM-DAC-46008-cfa009272","Construccion de la Carretera Doble Via Santa Cruz - Warnes","CAF Banco de Desarrollo de América Latina y el Caribe","86,150,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009272",2
"XM-DAC-46008-cfa009282","Fondo de Deuda Senior Colombia Cafam Ashmore I","CAF Banco de Desarrollo de América Latina y el Caribe","50,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009282",2
"XM-DAC-46008-cfa009331","Fondo Ashmore Andino II – FCP","CAF Banco de Desarrollo de América Latina y el Caribe","5,250,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009331",2
"XM-DAC-46008-cfa009458","Programa de Desarrollo de Nuevas áreas de Riego en Argentina - Etapa II","CAF Banco de Desarrollo de América Latina y el Caribe","40,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009458",2
"XM-DAC-46008-cfa009481","Programa Organicidade e Requalificação do Espaço Urbano, do Lazer, do acesso e Mobilidade (ORLA POA)","CAF Banco de Desarrollo de América Latina y el Caribe","92,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009481",4
"XM-DAC-46008-cfa009482","Proyecto Tercera Etapa de Redes de Alcantarillado Sanitario en San Miguelito y Panamá Norte II","CAF Banco de Desarrollo de América Latina y el Caribe","45,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009482",2
"XM-DAC-46008-cfa009545","Proyecto de Construcción de la Doble Via Caracollo-Colomi Tramo 2B: Confital-Bombeo","CAF Banco de Desarrollo de América Latina y el Caribe","176,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009545",2
"XM-DAC-46008-cfa009609","Programa de dinamización turística del destino Salar de Uyuni y Lagunas de Colores","CAF Banco de Desarrollo de América Latina y el Caribe","18,500,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009609",2
"XM-DAC-46008-cfa009660","Construcción Carretera KM25-Tarata-Anzaldo-Río Caine","CAF Banco de Desarrollo de América Latina y el Caribe","72,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009660",2
"XM-DAC-46008-cfa009731","Darby Latin American Debt Fund III","CAF Banco de Desarrollo de América Latina y el Caribe","10,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009731",2
"XM-DAC-46008-cfa009757","Programa Más Inversión para el Riego II - Mejora del Riego Tradicional y Tecnificado (MIRIEGO II)","CAF Banco de Desarrollo de América Latina y el Caribe","70,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009757",2
"XM-DAC-46008-cfa009759","Programa de Presas","CAF Banco de Desarrollo de América Latina y el Caribe","61,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009759",2
"XM-DAC-46008-cfa009854","Proyecto de Gestión de Aguas Residuales para Burunga y Arraiján Cabecera, Panamá","CAF Banco de Desarrollo de América Latina y el Caribe","95,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009854",2
"XM-DAC-46008-cfa009919","Programa de Desarrollo Turístico de Catamarca","CAF Banco de Desarrollo de América Latina y el Caribe","13,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009919",4
"XM-DAC-46008-cfa010048","Programa de Infraestrutura Urbana de São Bernardo do Campo (PROINFRA)","CAF Banco de Desarrollo de América Latina y el Caribe","125,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010048",4
"XM-DAC-46008-cfa010059","Programa de Rehabilitación de Infraestructura en la Provincia de Buenos Aires","CAF Banco de Desarrollo de América Latina y el Caribe","10,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010059",2
"XM-DAC-46008-cfa010061","Proyecto Implementación del Plan de Manejo Integral de la Cuenca del Río Luján - Etapa I","CAF Banco de Desarrollo de América Latina y el Caribe","100,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010061",2
"XM-DAC-46008-cfa010099","Programa Integral del Hábitat","CAF Banco de Desarrollo de América Latina y el Caribe","75,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010099",2
